Name;Description;Geometry;geo_point_2d
"Oude Graanmarkt - Vieux Marché aux Grains
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Oude Graanmarkt - Vieux Marché aux Grains<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3473029, 50.8503418], [4.3466297, 50.8499607]]}";50.85015125,4.3469663
Grootstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.3479600000000005, 50.845105], [4.348416, 50.845519]]}";50.845312,4.348188
Spoormakersstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.354735, 50.846277], [4.35448, 50.846142], [4.353566, 50.845537], [4.353442, 50.845415], [4.353241, 50.84516], [4.353035, 50.844963], [4.352898, 50.844846], [4.352898, 50.844807]]}";50.845602671,4.35375937937
"rue du Nom de Jésus
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";rue du Nom de Jésus<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3462461, 50.8520809], [4.3472224, 50.8526143]]}";50.8523476,4.34673425
"Bergstraat - rue de la Montagne
Voetgangerszone - Fietszone / Piétonnier - Zone cyclable";Bergstraat - rue de la Montagne<br>Voetgangerszone - Fietszone / Piétonnier - Zone cyclable;"{""type"": ""LineString"", ""coordinates"": [[4.354383, 50.846754], [4.3544027, 50.8467567], [4.3545850999999995, 50.8467448], [4.354907, 50.8467872], [4.3550223, 50.8468143]]}";50.846767729,4.35470389786
"Putterij - Putterie
Voetgangerszone - Fietszone / Piétonnier - Zone cyclable";Putterij - Putterie<br>Voetgangerszone - Fietszone / Piétonnier - Zone cyclable;"{""type"": ""LineString"", ""coordinates"": [[4.3557358, 50.8455813], [4.3560791, 50.8457168], [4.3567979, 50.8458591]]}";50.8457414232,4.35626061633
Rue du Midi- Zuidstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.349894, 50.846396], [4.349958, 50.846394], [4.350586, 50.84709], [4.35086, 50.847473], [4.351109, 50.847744], [4.351224, 50.847924], [4.351755, 50.848298]]}";50.8473608767,4.35080252043
"Oude Graanmarkt - Vieux Marché aux Grains
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Oude Graanmarkt - Vieux Marché aux Grains<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3464473, 50.8501436], [4.3471313, 50.8505484]]}";50.850346,4.3467893
Prinsenstraat - rue des Princes;;"{""type"": ""LineString"", ""coordinates"": [[4.353612, 50.850149], [4.354853, 50.849581]]}";50.849865,4.3542325
Rue Leopold - Leopoldstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.355333, 50.850012], [4.354244, 50.849009]]}";50.8495105,4.3547885
